Date,Close,High,Low,Open,Volume,MA_20,MA_50,MA_200,Signal,Position,Volume_MA,High_Volume,Price_Change,Volume_Signal
2020-08-10,109.77650451660156,110.7965835084136,107.12040450426484,109.65233985206775,212403600,,,,0,,,False,,Normal
2020-08-11,106.51175689697266,109.53790628694745,106.25125778841227,109.03882559792696,187902400,,,,0,0.0,,False,-0.029739948762307122,Normal
2020-08-12,110.05159759521484,110.30965976352992,107.41010462326904,107.60486600059996,165598000,,,,0,0.0,,False,0.03323427198432394,Normal
2020-08-13,111.99922943115234,113.00470146799744,110.94506334020708,111.43441109413642,210082000,,,,0,0.0,,False,0.01769744264050721,Normal
2020-08-14,111.8994369506836,111.9895142842953,110.0856907583412,111.8239663506483,165565200,,,,0,0.0,,False,-0.0008910104201216296,Normal
2020-08-17,111.60726928710938,113.04852867975067,110.97915755635788,113.02418165118854,119561600,,,,0,0.0,,False,-0.0026109842152555185,Normal
2020-08-18,112.53726196289062,112.96330892543268,111.02296903312585,111.35893868376326,105633600,,,,0,0.0,,False,0.008332724935585123,Normal
2020-08-19,112.6784896850586,114.09540227558831,112.5835459170633,112.94629218270236,145538000,,,,0,0.0,,False,0.0012549418717378025,Normal
2020-08-20,115.1787567138672,115.29318105450596,112.70281190884116,112.71985557077384,126907200,,,,0,0.0,,False,0.02218939067959602,Normal
2020-08-21,121.1142120361328,121.59868597251888,116.1282420708619,116.14041187069935,338054800,,,,0,0.0,,False,0.051532552456793335,Normal
2020-08-24,122.56275177001952,125.4136198889964,120.69301605778207,125.32840158232877,345937600,,,,0,0.0,,False,0.011960113594716493,Normal
2020-08-25,121.55728912353516,121.90299909151932,119.83119107466612,121.4331319106022,211495600,,,,0,0.0,,False,-0.008203655939212573,Normal
2020-08-26,123.2103500366211,123.66804740538558,121.8080444692864,122.87681730695134,163022400,,,,0,0.0,,False,0.013599027462729785,Normal
2020-08-27,121.73745727539062,124.14766458561552,120.5907768320979,123.8141318298438,155552400,,,,0,0.0,,False,-0.011954294105914753,Normal
2020-08-28,121.5402603149414,123.13245352128918,121.31627804416574,122.71370987305929,187630000,,,,0,0.0,,False,-0.0016198544380890967,Normal
2020-08-31,125.6619644165039,127.570661771966,122.70155254402836,124.24019284317772,225702700,,,,0,0.0,,False,0.03391225336264814,Normal
2020-09-01,130.6674041748047,131.27118380524524,127.11296048915096,129.28457897882038,151948100,,,,0,0.0,,False,0.03983257608253177,Normal
2020-09-02,127.96016693115234,134.36791557513135,123.67535734483124,133.98812570206806,200119000,,,,0,0.0,,False,-0.02071853543543767,Normal
2020-09-03,117.71558380126952,125.46720491788712,117.34553416902808,123.58773585994636,257599600,,,,0,0.0,,False,-0.0800607202661342,Normal
2020-09-04,117.7934799194336,120.46174947786696,107.98709503336389,116.92677914209936,332607200,117.68806114196778,,,0,0.0,200443050.0,True,0.0006617315706949345,Normal
2020-09-08,109.86656188964844,115.87503988575808,109.73022744851274,110.96697771586362,231366600,117.69256401062012,,,0,0.0,201391200.0,False,-0.06729504922689167,Normal
2020-09-09,114.24874877929688,116.021103778046,112.24267867897343,114.19032186132058,176940500,118.07941360473633,,,0,0.0,200843105.0,False,0.039886447835238314,Normal
2020-09-10,110.51903533935548,117.3455283202875,109.55495382599456,117.20919386101104,182274400,118.10278549194337,,,0,0.0,201676925.0,False,-0.032645551743821444,Normal
2020-09-11,109.06803894042967,112.2134865467846,107.12039538792202,111.57076060821522,180860300,117.95622596740722,,,0,0.0,200215840.0,False,-0.013128927469104656,Normal
2020-09-14,112.34007263183594,112.89515070723368,109.84709144123131,111.71682733418476,140150100,117.97825775146484,,,0,0.0,198945085.0,False,0.02999993144823443,Normal
2020-09-15,112.51535034179688,115.71922434822024,110.63587432677252,115.23231354049032,184642000,118.02366180419922,,,0,0.0,202199105.0,False,0.0015602420921994042,Normal
2020-09-16,109.1946258544922,112.96331855332303,109.1069854666838,112.2134791043946,154679000,117.8565299987793,,,0,0.0,204651375.0,False,-0.029513523952216625,Normal
2020-09-17,107.45148468017578,109.26279366804528,105.86415795625577,106.847719970666,178011000,117.59517974853516,,,0,0.0,206275025.0,False,-0.015963616896670807,Normal
2020-09-18,104.04312133789062,107.97736244484516,103.31275496127046,107.509932124424,287104900,117.03839797973633,,,0,0.0,214284910.0,False,-0.031720020923210024,Normal
2020-09-21,107.19830322265624,107.3054242127271,100.4010239357237,101.80332967507266,195713800,116.3426025390625,,,0,0.0,207167860.0,False,0.030325713456047065,Normal
2020-09-22,108.88301849365234,109.90553440635529,106.30239653909264,109.73024617645396,183055400,115.65861587524414,,,0,0.0,199023750.0,False,0.01571587628114668,Normal
2020-09-23,104.31578063964844,109.17514872406446,103.97493710920855,108.69797818298632,150718700,114.79654045104981,,,0,0.0,195984905.0,False,-0.04194628250749832,Normal
2020-09-24,105.38699340820312,107.36385041762158,102.25128611202057,102.41683403022384,167743300,113.9053726196289,,,0,0.0,196220950.0,False,0.010268942646895596,Normal
2020-09-25,109.34071350097656,109.49652855947328,104.85139428601482,105.59150095453244,149981400,113.2855354309082,,,0,0.0,195942400.0,False,0.03751620541501932,Normal
2020-09-28,111.95054626464844,112.30112268518972,109.82761457566852,111.99924032348429,137672400,112.80604972839356,,,0,0.0,193444520.0,False,0.023868810437646992,Normal
2020-09-29,111.10332489013672,112.2913886673386,110.5969408264079,111.55128945340192,99382200,112.0781177520752,,,0,0.0,187128495.0,False,-0.007567818137384608,Normal
2020-09-30,112.77828216552734,114.19032800652032,110.645617818262,110.81116571454996,142675200,111.18366165161133,,,0,0.0,186664850.0,False,0.015075671921131795,Normal
2020-10-01,113.73263549804688,114.6382899624058,112.7977675718812,114.56038244447451,116120400,110.47228507995605,,,0,0.0,182464920.0,False,0.008462208451790465,Normal
2020-10-02,110.0613250732422,112.3498120079921,109.28227217240112,109.93473092714387,144712000,110.08957214355469,,,0,0.0,176820540.0,False,-0.03228018421210088,Normal
2020-10-05,113.45023345947266,113.5963082073717,110.57746227936272,110.92803870245233,106243800,109.87240982055664,,,0,0.0,165502370.0,False,0.03079109200234731,Normal
2020-10-06,110.19767761230467,113.0801892267211,109.31149621483338,112.6711784272963,161498200,109.88896560668945,,,0,0.0,162008950.0,False,-0.028669450454060774,Normal
2020-10-07,112.0674057006836,112.52510309938262,111.14227060574488,111.6194485995252,96849000,109.77989845275879,,,0,0.0,158004375.0,False,0.016967037136272234,Normal
2020-10-08,111.9603042602539,113.3528698648449,111.59024718581414,113.20679509491715,83477200,109.85196189880371,,,0,0.0,153064515.0,False,-0.0009556876931348102,Normal
2020-10-09,113.90794372558594,113.93715719252894,111.91160594820737,112.26218241086576,100506900,110.09395713806153,,,0,0.0,149046845.0,False,0.017395803612722416,Normal
2020-10-12,121.14342498779295,121.90300475026318,116.1574550435818,116.91703480605202,240226800,110.53412475585938,,,0,0.0,154050680.0,True,0.06352042733418073,Bullish
2020-10-13,117.9298095703125,122.10750566774657,116.5177710390298,121.99064438590798,262330500,110.80484771728516,,,0,0.0,157935105.0,True,-0.026527361413170136,Bearish
2020-10-14,118.01746368408205,119.8092921898273,116.48856378941026,117.8324351687192,150712000,111.24598960876465,,,0,0.0,157736755.0,False,0.0007432735971415472,Normal
2020-10-15,117.5500259399414,118.02719653089068,115.05704456556252,115.61212268187876,112559200,111.75091667175293,,,0,0.0,154464165.0,False,-0.0039607506342612675,Normal
2020-10-16,115.90425872802734,118.3680339393134,115.69975705683036,118.10509791229572,115393800,112.34397354125977,,,0,0.0,145878610.0,False,-0.014000568683455006,Normal
2020-10-19,112.94384002685548,117.26760316923634,112.63221739110126,116.81964609469402,120639300,112.63125038146973,114.05663146972657,,0,0.0,142124885.0,False,-0.02554193205375277,Normal
2020-10-20,114.43379974365234,115.86531895269678,112.60301003753486,113.15808815638162,124423700,112.90878944396972,114.14977737426757,,0,0.0,139193300.0,False,0.01319204054371248,Normal
2020-10-21,113.81056213378906,115.60239076917917,113.4015513107795,113.61579330624376,89946000,113.38352851867675,114.2957534790039,,0,0.0,136154665.0,False,-0.005446272091457427,Normal
2020-10-22,112.7198715209961,114.94992429837151,111.59023468508376,114.3753655822656,101988000,113.7501724243164,114.34911895751954,,0,0.0,132866900.0,False,-0.009583386571018093,Normal
2020-10-23,112.02845001220705,113.49892286939378,111.28834343492714,113.34310783010538,82572600,113.88455924987792,114.34970336914063,,0,0.0,129496460.0,False,-0.0061339806323347235,Normal
2020-10-26,112.0382080078125,113.4989407983724,109.92500892425242,111.02543238146376,111850700,113.88894233703613,114.3524787902832,,0,0.0,128205375.0,False,8.71028350779568e-05,Normal
